-1    -1    -1    -1    -1    -1    -1    -1    -1    -1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    -1
-1    -1    -1    -1    -1    -1    -1    -1    -1    -1    1    6    7    7    7    7    7    7    7    7    -1    -1    2    -1    1    -1
-1    -1    -1    -1    -1    -1    -1    -1    -1    -1    1    6    1    1    1    1    1    1    1    1    -1    -1    -1    -1    1    -1
-1    -1    -1    -1    -1    -1    -1    -1    -1    -1    1    6    1    -1    -1    -1    -1    -1    -1    1    1    1    -1    1    1    -1
-1    -1    -1    -1    -1    -1    -1    -1    -1    -1    1    6    1    -1    -1    -1    -1    -1    -1    -1    -1    1    5    1    -1    -1
-1    -1    -1    -1    -1    -1    -1    -1    -1    -1    1    6    1    -1    -1    -1    -1    -1    -1    -1    -1    1    5    1    1    1
-1    -1    -1    -1    -1    -1    -1    -1    -1    -1    1    6    1    -1    -1    -1    -1    -1    -1    -1    -1    1    5    7    7    1
-1    -1    -1    -1    -1    -1    -1    -1    -1    1    1    6    1    1    -1    -1    -1    -1    -1    -1    -1    1    1    1    5    1
-1    1    1    1    1    1    1    1    1    1    -1    -1    -1    1    1    1    1    1    1    1    1    1    -1    1    5    1
-1    1    6    7    7    7    7    7    7    -1    -1    -1    -1    -1    8    8    8    8    8    8    6    1    -1    1    5    1
-1    1    6    1    1    1    1    1    1    1    -1    -1    -1    1    1    1    1    1    1    1    6    1    -1    1    5    1
-1    1    6    1    -1    -1    -1    -1    -1    1    1    -1    1    1    -1    -1    -1    -1    -1    1    6    1    -1    1    5    1
-1    1    6    1    -1    -1    1    1    1    1    1    5    1    -1    -1    -1    -1    -1    -1    1    6    1    -1    1    5    1
-1    1    6    1    -1    -1    1    8    8    8    8    5    1    -1    -1    -1    -1    -1    1    1    -1    1    1    1    5    1
-1    1    6    1    -1    -1    1    5    1    1    1    5    1    1    1    1    1    1    1    -1    -1    -1    1    1    5    1
-1    1    6    1    -1    1    1    -1    1    1    1    5    7    7    7    7    7    7    -1    -1    -1    -1    -1    8    5    1
-1    1    6    1    1    1    -1    -1    -1    1    1    1    1    1    1    1    1    1    1    -1    -1    -1    1    1    1    1
-1    1    6    7    7    -1    -1    -1    -1    -1    8    8    8    6    1    -1    -1    -1    1    1    -1    1    1    -1    -1    -1
-1    1    6    1    1    1    -1    -1    -1    1    1    1    1    6    1    -1    -1    -1    -1    1    5    1    -1    -1    -1    -1
-1    1    6    1    -1    1    1    -1    1    1    -1    -1    1    6    1    -1    -1    -1    -1    1    5    1    -1    -1    -1    -1
1    1    -1    1    1    -1    1    5    1    -1    -1    -1    1    6    1    -1    -1    -1    -1    1    5    1    -1    -1    -1    -1
1    -1    -1    -1    1    1    1    5    1    -1    -1    1    1    -1    1    1    -1    -1    -1    1    5    1    -1    -1    -1    -1
1    -1    10    -1    -1    8    8    5    1    -1    -1    1    -1    -1    -1    1    1    1    1    1    5    1    -1    -1    -1    -1
1    -1    2    -1    1    1    1    1    1    -1    -1    1    -1    -1    -1    -1    8    8    8    8    5    1    -1    -1    -1    -1
1    1    1    1    1    -1    -1    -1    -1    -1    -1    1    1    1    1    1    1    1    1    1    1    1    -1    -1    -1    -1
